Model,MAE,MAE_STD,Spearman_R,R2
PC1 + Case Type + BoW,4.6950,3.7459,0.7642,0.5836
PC1 + Velocity Corr. + BoW,4.6548,3.3804,0.7958,0.6180
BoW only,6.4196,4.2136,0.5335,0.3194
