Metric,Mean,Std Dev
Raw Coverage (L),0.8182646257356415,0.09440258505707921
Raw Coverage (R),0.7881837178217347,0.06425571072328379
Proc. Coverage (L),0.8270811167418477,0.09250430245983843
Proc. Coverage (R),0.7911322386417318,0.0641266172084417
Cont. Traj. (L),0.9600309623942215,0.02654491050573204
Cont. Traj. (R),0.9704907592383538,0.016668754033261478
Interp. Rate (L),0.013203673008081928,0.008963432767776093
Interp. Rate (R),0.006671593470503102,0.004106286685240104
