Model,MAE,MAE_STD,Spearman_R,R2
MIL-Only (Window Features),6.244341685590016,4.2018127622996495,0.5560436510485056,0.3461759789180976
Mean Pooling Only,6.969936401489749,4.503802448120776,0.4272091327382146,0.2051640137625632
Hybrid MIL,4.640256475732029,3.8669165490337907,0.7479728646140646,0.5788873055348795
Hybrid Mean Pooling,4.450720760238218,3.838691932898034,0.7618492890238906,0.6012853006301417
