Model,MAE,MAE_STD,Spearman_R,R2
PC1 only (Linear),5.352209172729795,4.112016853944542,0.6924881600525363,0.4742030182921766
PC1 + Case Type (Ridge),5.223127691575808,3.982136711875923,0.7164727514114263,0.502092698443898
PC1 + Velocity Corr. (Ridge),5.2511106414539,3.8472766544574437,0.7230120951385984,0.5108967013862213
Duration (Linear),5.77046619614445,4.079094126539677,0.6844478112643921,0.42362031965237246
PC1 + Case Type (MLP),4.957660567808342,4.0801117995875185,0.7131348520450688,0.5241699666027357
